Model,MSO2014
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,4.2e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.29501e-01,-5.5,-5.7
-1.29498e-01,-5.5,-5.3
-1.29494e-01,-5.5,-5.7
-1.29491e-01,-5.5,-5.3
-1.29488e-01,-5.5,-5.7
-1.29485e-01,-5.5,-5.3
-1.29482e-01,-5.3,-5.7
-1.29478e-01,-5.5,-5.3
-1.29475e-01,-5.5,-5.7
-1.29472e-01,-5.5,-5.3
-1.29469e-01,-5.5,-5.7
-1.29466e-01,-5.5,-5.3
-1.29462e-01,-5.5,-5.7
-1.29459e-01,-5.5,-5.3
-1.29456e-01,-5.5,-5.7
-1.29453e-01,-5.3,-5.3
-1.29450e-01,-5.3,-5.7
-1.29446e-01,-5.3,-5.3
-1.29443e-01,-5.5,-5.5
-1.29440e-01,-5.3,-5.3
-1.29437e-01,-5.5,-5.7
-1.29434e-01,-5.3,-5.3
-1.29430e-01,-5.3,-5.7
-1.29427e-01,-5.5,-5.1
-1.29424e-01,-5.3,-5.7
-1.29421e-01,-5.5,-5.1
-1.29418e-01,-5.3,-5.7
-1.29414e-01,-5.3,-5.1
-1.29411e-01,-5.3,-5.5
-1.29408e-01,-5.3,-5.1
-1.29405e-01,-5.3,-5.5
-1.29402e-01,-5.3,-5.1
-1.29398e-01,-5.3,-5.5
-1.29395e-01,-5.3,-5.1
-1.29392e-01,-5.3,-5.5
-1.29389e-01,-5.3,-5.1
-1.29386e-01,-5.3,-5.5
-1.29382e-01,-5.3,-5.1
-1.29379e-01,-5.3,-5.5
-1.29376e-01,-5.3,-5.1
-1.29373e-01,-5.3,-5.5
-1.29370e-01,-5.3,-5.1
-1.29366e-01,-5.3,-5.5
-1.29363e-01,-5.3,-5.1
-1.29360e-01,-5.3,-5.5
-1.29357e-01,-5.3,-5.1
-1.29354e-01,-5.3,-5.5
-1.29350e-01,-5.3,-5.1
-1.29347e-01,-5.3,-5.5
-1.29344e-01,-5.3,-5.1
-1.29341e-01,-5.3,-5.5
-1.29338e-01,-5.3,-5.1
-1.29334e-01,-5.3,-5.5
-1.29331e-01,-5.3,-5.1
-1.29328e-01,-5.3,-5.5
-1.29325e-01,-5.3,-5.1
-1.29322e-01,-5.5,-5.5
-1.29318e-01,-5.5,-5.1
-1.29315e-01,-5.5,-5.7
-1.29312e-01,-5.5,-5.1
-1.29309e-01,-5.5,-5.7
-1.29306e-01,-5.5,-5.3
-1.29302e-01,-5.5,-5.7
-1.29299e-01,-5.5,-5.3
-1.29296e-01,-5.5,-5.7
-1.29293e-01,-5.5,-5.3
-1.29290e-01,-5.5,-5.7
-1.29286e-01,-5.3,-5.3
-1.29283e-01,-5.5,-5.7
-1.29280e-01,-5.5,-5.3
-1.29277e-01,-5.3,-5.7
-1.29274e-01,-5.5,-5.3
-1.29270e-01,-5.3,-5.7
-1.29267e-01,-5.5,-5.3
-1.29264e-01,-5.5,-5.7
-1.29261e-01,-5.3,-5.3
-1.29258e-01,-5.3,-5.7
-1.29254e-01,-5.5,-5.1
-1.29251e-01,-5.5,-5.7
-1.29248e-01,-5.5,-5.3
-1.29245e-01,-5.5,-5.5
-1.29242e-01,-5.3,-5.1
-1.29238e-01,-5.3,-5.5
-1.29235e-01,-5.3,-5.1
-1.29232e-01,-5.3,-5.5
-1.29229e-01,-5.3,-5.1
